	Total																										Menos de 101 																										De 101 a 500 																										De 501 a 1.000																										De 1.001 a 2.000 																										De 2.001 a 5.000 																										De 5.001 a 10.000 																										De 10.001 a 20.000 																										De 20.001 a 50.000 																										De 50.001 a 100.000 																										De 100.001 a 500.000 																										Más de 500.000 																										
	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
41 Sevilla	1.947.852	1.950.219	1.942.389	1.939.887	1.939.527	1.939.775	1.941.480	1.941.355	1.942.155	1.938.974	1.928.962	1.917.097	1.900.224	1.875.462	1.849.268	1.835.077	1.813.908	1.792.420	1.782.862	1.758.720	1.747.441	1.734.917	1.725.482	1.714.845	""	1.705.320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	300	287	278	282	284	296	305	304	314	324	334	350	348	347	353	361	367	366	369	379	382	364	368	376	""	402	2.928	2.891	2.877	2.873	2.848	2.843	2.854	2.914	2.910	2.924	2.930	2.942	2.940	2.953	2.927	2.976	2.967	2.901	2.858	2.862	2.874	2.886	2.859	3.688	""	3.573	12.611	12.475	12.573	12.705	12.917	13.175	13.311	13.534	13.638	13.810	13.818	13.939	14.043	14.117	14.064	14.175	16.277	16.331	16.357	18.239	18.183	18.054	17.893	16.698	""	16.841	100.145	104.466	104.578	102.488	102.838	103.314	99.065	89.318	84.648	84.667	84.381	84.207	83.729	88.088	96.522	99.974	100.769	98.806	96.833	99.080	103.715	103.116	107.126	111.072	""	115.260	176.595	170.722	170.339	169.898	170.074	180.054	184.962	194.763	209.442	208.773	207.300	205.311	202.336	193.205	208.565	208.184	198.378	194.054	191.073	182.856	176.608	194.959	187.073	179.993	""	174.184	307.157	306.760	305.968	305.597	305.534	295.486	295.549	295.476	285.222	284.219	301.297	298.182	294.598	308.966	291.038	256.442	251.494	266.526	263.204	258.620	255.699	234.043	232.709	231.371	""	230.294	400.941	399.678	397.209	396.292	395.240	394.432	392.836	391.160	390.204	387.546	364.076	359.965	355.261	329.154	353.001	368.889	363.992	338.575	335.128	330.937	328.759	326.249	324.193	320.970	""	319.828	126.691	126.495	126.007	127.873	127.807	127.754	127.403	126.841	125.889	125.562	124.430	122.917	120.820	118.550	66.089	64.990	63.237	61.063	59.807	58.351	57.830	154.530	151.334	148.750	""	147.451	136.250	135.050	133.968	133.168	132.551	131.855	131.317	130.369	129.719	128.794	127.375	125.086	122.943	120.323	117.564	114.672	112.273	109.595	107.258	103.282	100.871	0	0	0	""	0	684.234	691.395	688.592	688.711	689.434	690.566	693.878	696.676	700.169	702.355	703.021	704.198	703.206	699.759	699.145	704.414	704.154	704.203	709.975	704.114	702.520	700.716	701.927	701.927	""	697.487	
42 Soria	88.747	88.884	88.636	88.600	88.903	90.040	91.006	92.221	93.291	94.522	95.223	95.258	95.101	94.646	93.593	93.503	92.773	91.652	90.954	91.487	91.314	90.911	91.252	91.593	""	92.848	5.278	5.235	5.303	5.177	5.281	5.359	5.465	5.721	5.665	5.771	5.377	5.063	5.431	5.519	5.324	4.483	4.885	4.835	4.577	4.703	4.623	4.444	4.349	4.565	""	4.320	8.790	8.870	9.095	9.388	9.575	9.482	9.374	9.499	10.006	10.347	10.840	11.362	11.185	11.447	12.563	14.253	14.167	14.661	15.068	15.444	15.906	16.897	16.609	16.740	""	17.464	5.867	5.768	5.840	5.892	6.020	6.556	7.098	7.272	7.324	7.428	6.020	5.981	6.035	6.984	5.405	4.861	4.897	4.876	4.895	5.831	5.738	5.176	5.593	5.608	""	6.262	4.164	4.186	4.239	4.320	4.357	4.476	4.615	4.741	4.835	4.986	7.059	7.056	8.962	7.945	8.876	8.867	6.766	6.598	6.480	5.427	5.496	5.526	5.608	5.698	""	3.836	14.508	14.489	19.272	19.185	19.263	14.343	14.486	14.575	14.702	14.754	14.667	14.706	12.696	12.531	12.343	12.253	14.063	14.126	13.989	14.134	14.097	18.985	14.135	14.187	""	16.439	10.445	10.515	5.489	5.526	5.526	10.653	10.800	10.897	11.006	11.089	11.273	11.252	11.264	11.142	10.877	10.782	10.795	10.787	10.767	10.836	10.814	5.795	10.913	10.913	""	10.930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	39.695	39.821	39.398	39.112	38.881	39.171	39.168	39.516	39.753	40.147	39.987	39.838	39.528	39.078	38.205	38.004	37.200	35.769	35.178	35.112	34.640	34.088	34.045	33.882	""	33.597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
43 Tarragona	822.309	816.772	804.664	795.902	791.693	792.299	795.101	800.962	810.178	814.199	811.401	808.420	803.301	788.895	757.795	730.466	704.907	674.144	654.149	631.156	612.086	598.533	588.499	580.245	""	574.676	444	536	575	664	372	484	294	303	217	228	234	212	309	323	324	326	320	313	308	298	301	298	311	282	""	374	14.778	14.899	15.376	15.296	15.679	15.729	14.652	14.689	15.096	14.859	15.439	13.898	15.260	15.657	15.942	16.501	18.275	17.268	16.905	17.653	17.240	17.172	17.055	17.225	""	18.015	27.214	24.479	23.946	24.922	23.998	23.271	25.171	25.421	25.899	25.146	24.752	25.301	24.832	24.042	25.987	27.005	24.305	24.943	24.442	24.992	24.452	26.205	25.002	24.222	""	24.271	30.996	32.554	32.460	33.288	34.361	35.639	35.973	36.067	36.616	36.883	36.743	39.627	38.116	39.396	40.550	37.871	40.544	43.844	44.188	42.972	45.572	44.350	44.259	47.526	""	45.500	99.370	97.790	96.937	94.391	94.196	94.072	94.635	99.876	100.004	102.220	101.689	98.576	96.421	97.029	86.816	91.548	88.563	88.486	84.213	79.851	73.345	74.617	73.640	73.394	""	72.014	104.796	103.939	102.765	102.209	102.016	102.297	102.703	98.466	89.865	90.095	89.651	83.413	82.896	76.248	82.951	79.402	81.211	67.517	65.546	62.734	60.413	53.459	52.530	56.018	""	64.776	70.297	69.091	67.543	66.243	65.765	65.051	65.567	66.446	78.468	78.844	78.729	78.289	77.230	75.179	99.726	84.823	90.903	104.580	99.876	95.165	90.415	106.750	102.743	90.049	""	96.263	232.894	230.820	226.174	223.113	220.676	221.047	221.657	222.533	223.678	224.759	223.370	222.298	220.796	215.715	166.501	160.065	133.129	106.967	103.188	98.691	95.139	72.406	71.031	69.700	""	50.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.505	96.642	94.407	91.616	90.056	89.179	88.912	89.034	""	90.993	241.520	242.664	238.888	235.776	234.630	234.709	234.449	237.161	240.335	241.165	240.794	246.806	247.441	245.306	238.998	232.925	128.152	123.584	121.076	117.184	115.153	114.097	113.016	112.795	""	112.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
44 Teruel	134.545	134.176	134.137	134.572	135.562	136.977	138.932	140.365	142.183	143.728	144.607	145.277	146.751	146.324	144.046	142.160	141.091	139.333	138.686	137.342	136.233	136.473	136.849	136.840	""	138.211	5.210	5.431	5.472	5.258	5.160	5.098	4.820	4.738	4.925	4.788	4.487	4.722	4.917	4.362	4.234	4.286	4.016	4.133	4.013	4.291	4.365	4.115	4.178	4.008	""	3.930	22.349	21.696	21.461	22.565	22.766	22.902	23.304	22.850	24.280	24.370	23.729	23.343	23.028	23.837	24.633	26.188	25.712	25.339	26.009	25.909	26.961	27.650	27.605	28.027	""	27.478	15.502	14.465	15.173	13.820	14.545	15.228	16.059	17.357	15.632	18.078	17.874	18.566	19.383	19.450	17.776	15.530	17.537	17.932	17.529	17.614	16.496	16.650	17.434	15.563	""	17.430	10.055	10.945	10.958	9.962	12.006	10.158	10.340	10.432	11.565	10.623	12.870	12.982	13.135	13.130	14.047	14.063	12.941	12.769	12.776	14.793	14.774	14.878	14.968	17.120	""	17.375	22.079	22.048	21.764	23.704	21.865	24.109	24.524	24.832	25.158	25.338	25.615	25.765	26.097	25.985	25.377	24.939	24.524	23.993	23.803	21.653	21.575	21.562	21.584	21.805	""	22.043	7.327	7.345	7.472	7.633	7.799	7.875	8.065	8.148	8.278	8.266	8.324	8.367	8.403	8.290	8.156	8.034	7.993	7.883	7.869	7.868	7.887	8.000	8.072	8.174	""	8.282	16.029	16.006	15.947	15.939	15.937	16.043	16.230	16.333	16.384	16.424	16.420	16.291	16.392	16.233	15.587	15.447	15.130	14.704	14.383	13.708	13.386	13.127	12.961	12.823	""	12.679	35.994	36.240	35.890	35.691	35.484	35.564	35.590	35.675	35.961	35.841	35.288	35.241	35.396	35.037	34.236	33.673	33.238	32.580	32.304	31.506	30.789	30.491	30.047	29.320	""	28.994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
45 Toledo	709.403	703.772	694.844	687.391	686.841	688.672	693.371	699.136	706.407	711.228	707.242	697.959	689.635	670.203	639.621	615.618	598.256	578.060	563.099	546.538	536.131	527.965	523.459	519.664	""	515.880	326	226	227	240	151	153	157	149	147	146	136	144	152	150	152	145	245	253	154	168	168	176	178	186	""	94	14.025	13.971	13.704	13.853	14.360	14.749	14.254	14.498	14.796	13.918	12.686	13.946	13.507	14.348	13.573	15.789	15.202	15.623	15.992	17.344	16.858	16.980	16.619	16.112	""	16.011	27.679	27.121	28.735	27.611	27.859	28.455	29.112	29.356	28.071	29.297	29.963	28.923	30.307	29.058	30.795	26.669	26.938	26.134	26.065	25.517	28.058	30.102	29.488	29.943	""	31.536	47.146	46.778	45.669	45.041	43.776	44.555	44.211	40.922	39.830	39.509	40.887	39.502	40.360	39.827	40.103	50.412	52.230	55.693	55.821	56.110	58.441	57.569	57.692	58.924	""	61.023	173.662	190.608	187.688	192.693	190.091	185.920	189.438	195.228	201.410	200.377	204.099	205.802	200.504	204.636	203.037	181.539	171.550	164.349	169.799	160.577	156.248	151.508	150.343	147.473	""	142.650	127.700	106.449	105.265	89.337	94.598	99.733	80.197	80.680	91.977	97.270	92.081	96.068	104.543	91.720	81.641	78.375	95.240	95.997	78.217	95.659	89.193	97.964	97.656	107.287	""	106.992	92.244	92.521	90.537	99.006	98.638	98.830	120.104	121.348	112.075	133.356	131.981	119.617	107.851	121.891	106.153	101.295	78.343	66.221	64.586	42.751	41.704	30.888	30.662	20.542	""	20.646	57.695	56.624	54.729	52.319	50.324	48.699	47.522	46.842	45.960	24.581	23.627	22.482	21.264	0	0	0	0	0	0	0	0	0	0	0	""	0	168.926	169.474	168.290	167.291	167.044	167.578	168.376	170.113	172.141	172.774	171.782	171.475	171.147	168.573	164.167	161.394	158.508	153.790	152.465	148.412	145.461	142.778	140.821	139.197	""	136.928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
46 Valencia/València	2.589.312	2.591.875	2.565.124	2.547.986	2.540.707	2.544.264	2.543.315	2.548.898	2.566.474	2.580.792	2.578.719	2.581.147	2.575.362	2.543.209	2.486.483	2.463.592	2.416.628	2.358.919	2.320.297	2.267.503	2.227.170	2.201.200	2.187.633	2.172.796	""	2.172.840	86	190	190	189	198	207	222	214	118	221	227	217	224	186	132	188	359	363	392	363	455	354	357	259	""	261	13.185	12.891	13.567	13.937	14.069	14.013	13.769	13.900	13.305	13.660	12.931	13.435	12.823	12.258	12.638	12.401	13.121	13.937	13.723	13.159	13.106	13.490	13.617	14.132	""	13.273	22.637	23.534	24.024	24.428	23.728	24.556	25.517	26.612	24.128	25.489	26.958	27.406	27.907	28.490	28.256	30.081	30.771	30.537	29.365	30.891	28.765	29.770	30.061	29.338	""	28.479	64.949	65.217	65.614	66.164	67.631	68.107	68.614	68.028	71.099	71.015	71.339	68.953	68.965	68.378	70.107	72.839	75.305	75.470	77.954	77.462	78.946	79.952	79.504	77.081	""	81.619	177.699	174.205	170.983	168.745	169.054	164.706	165.597	166.484	170.152	166.774	167.050	170.694	169.438	166.407	176.213	171.799	162.065	156.296	148.143	147.969	145.650	150.146	148.758	154.474	""	154.761	189.998	197.847	195.311	203.343	202.131	206.979	206.853	206.817	207.565	212.650	211.545	203.674	201.016	206.034	188.278	173.807	180.307	195.662	192.072	183.322	180.050	177.781	176.235	170.400	""	174.047	305.607	294.291	291.351	279.179	278.602	278.467	278.320	278.522	278.850	281.868	281.968	300.587	298.295	323.078	324.565	317.802	320.195	329.261	359.987	368.478	361.906	346.011	339.372	334.530	""	299.739	727.008	725.517	716.691	710.689	708.910	709.159	710.329	712.690	717.303	719.081	716.811	695.461	693.830	646.531	613.686	609.883	577.484	526.353	526.900	496.574	488.914	484.217	481.189	476.483	""	498.289	298.399	297.968	293.105	289.899	288.576	287.869	287.905	289.207	291.651	293.006	291.857	291.453	288.656	284.647	274.954	269.488	260.472	245.308	191.108	187.414	182.766	180.465	179.128	176.687	""	175.689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	789.744	800.215	794.288	791.413	787.808	790.201	786.189	786.424	792.303	797.028	798.033	809.267	814.208	807.200	797.654	805.304	796.549	785.732	780.653	761.871	746.612	739.014	739.412	739.412	""	746.683	
47 Valladolid	519.361	520.649	519.546	519.851	521.130	523.679	526.288	529.157	532.284	534.280	534.874	533.640	532.575	529.019	521.661	519.249	514.674	510.863	506.302	501.157	497.961	495.690	494.594	492.029	""	490.205	3.759	3.717	3.484	3.660	3.641	3.739	3.525	3.464	3.415	3.223	2.837	2.688	2.911	2.572	2.678	2.115	2.563	2.386	2.191	2.135	2.307	2.446	2.252	2.457	""	2.206	24.016	24.268	24.849	24.089	24.619	24.987	25.424	25.027	24.930	25.386	27.066	27.002	26.595	26.957	28.096	28.516	28.988	29.542	29.884	30.262	30.485	30.780	31.214	30.594	""	31.094	10.081	10.108	9.201	10.289	10.437	10.637	11.289	12.430	13.158	14.008	12.644	12.247	12.814	12.314	12.269	11.799	12.350	12.382	12.310	14.020	15.029	14.980	17.639	18.153	""	18.824	20.988	20.976	21.998	20.013	20.113	20.242	20.430	20.576	20.984	23.326	24.474	25.521	25.556	28.532	27.117	29.503	28.122	27.400	28.559	30.904	29.266	28.702	26.629	28.354	""	29.684	38.585	38.357	38.191	40.124	40.026	39.897	44.690	44.531	44.295	46.961	41.377	40.237	48.728	39.647	42.107	37.389	35.604	33.792	35.266	39.526	33.564	36.966	30.545	27.320	""	24.185	60.537	60.240	59.997	59.950	59.788	59.789	54.823	54.898	54.999	50.146	54.637	53.923	43.089	46.925	50.784	48.199	44.667	42.747	36.858	26.374	31.177	25.663	30.430	30.267	""	29.999	0	0	0	19.632	19.421	19.042	18.491	17.572	16.643	15.680	14.461	12.758	11.716	10.872	0	0	0	0	0	19.258	17.811	16.977	15.864	14.915	""	14.234	63.620	63.718	63.414	43.228	43.370	43.470	43.711	43.829	44.146	44.049	43.941	43.742	43.302	42.739	42.046	41.785	41.379	40.901	40.091	20.102	20.029	20.047	20.023	20.023	""	20.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	297.775	299.265	298.412	298.866	299.715	301.876	303.905	306.830	309.714	311.501	313.437	315.522	317.864	318.461	316.564	319.943	321.001	321.713	321.143	318.576	318.293	319.129	319.998	319.946	""	319.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
49 Zamora	168.725	170.588	172.539	174.549	177.404	180.406	183.436	185.432	188.270	191.612	193.383	194.214	195.665	197.221	197.237	197.492	198.045	198.524	199.688	200.678	202.356	203.469	204.650	205.201	""	207.475	2.236	2.256	2.045	1.864	1.942	2.101	1.881	1.726	1.762	1.529	1.243	1.184	1.524	1.567	1.281	1.294	1.310	1.253	1.294	1.124	853	866	479	477	""	487	44.343	43.990	44.169	44.050	44.784	44.760	45.252	45.305	44.907	45.038	45.395	45.877	45.811	45.157	45.882	46.785	46.150	46.320	45.247	45.385	46.623	44.800	44.617	44.612	""	43.977	18.118	19.267	19.657	20.105	21.032	20.509	22.048	21.917	23.788	25.963	27.514	27.543	29.345	29.203	28.134	28.875	29.727	32.064	33.673	35.204	34.838	36.929	37.988	37.848	""	39.887	14.646	14.664	15.667	16.912	17.096	19.423	19.705	20.990	21.381	21.976	22.085	22.055	21.117	23.167	24.975	23.857	24.941	24.049	27.186	27.184	28.341	29.560	30.812	31.949	""	33.465	3.030	2.971	2.947	2.907	2.950	2.966	2.955	2.887	2.888	2.858	2.785	2.709	2.634	2.512	2.345	2.204	2.129	2.032	0	0	0	0	0	0	""	0	8.532	8.665	8.713	8.789	8.974	9.115	9.214	9.305	9.421	9.627	9.649	9.748	9.822	9.850	9.738	9.667	9.466	9.396	9.166	9.079	9.224	9.325	9.396	9.622	""	9.821	17.523	17.787	17.935	18.095	18.237	18.315	18.550	18.879	19.137	19.259	19.187	19.100	19.119	19.093	18.744	18.675	18.199	17.764	17.483	17.127	16.844	16.763	16.452	16.272	""	16.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	60.297	60.988	61.406	61.827	62.389	63.217	63.831	64.423	64.986	65.362	65.525	65.998	66.293	66.672	66.138	66.135	66.123	65.646	65.639	65.575	65.633	65.226	64.906	64.421	""	63.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
50 Zaragoza	967.452	972.528	964.693	954.811	953.486	950.507	956.006	960.111	978.638	978.130	973.325	973.252	970.313	955.323	932.502	917.288	912.072	897.350	880.118	871.209	857.565	848.006	844.571	841.438	""	842.419	5.321	5.378	5.108	5.438	4.763	4.104	4.047	3.770	3.766	3.908	4.049	3.698	3.654	3.565	4.025	3.754	4.124	4.006	3.382	3.467	3.774	3.600	3.473	3.633	""	3.010	27.250	28.439	27.739	28.054	28.834	30.815	30.844	29.644	30.808	32.029	32.311	31.965	31.901	31.897	32.204	32.918	31.973	31.998	33.622	33.558	33.638	34.160	34.501	34.354	""	34.889	24.123	22.457	23.044	22.629	22.465	23.314	19.934	22.420	23.337	23.108	24.856	25.382	24.036	23.579	24.390	24.751	24.693	25.002	25.542	26.359	26.321	28.380	28.543	28.516	""	29.987	29.999	30.056	33.105	31.254	30.582	31.832	35.356	33.823	33.342	33.921	31.295	31.348	33.511	34.338	33.781	34.556	35.686	33.292	37.613	39.084	42.256	43.386	40.615	40.091	""	38.507	61.145	65.499	63.128	64.718	66.855	64.988	72.369	75.179	71.154	66.510	68.421	73.385	77.021	83.914	82.374	73.666	71.311	70.384	62.150	58.607	53.176	47.987	49.779	49.312	""	51.478	54.101	48.890	58.238	57.032	56.287	55.854	50.695	50.807	55.920	60.951	70.200	64.162	57.721	44.757	36.460	35.729	34.796	33.636	32.929	32.234	31.644	31.319	41.073	40.575	""	40.204	90.212	69.840	59.310	58.771	58.589	58.301	77.808	57.752	57.381	56.905	46.631	46.474	46.219	45.239	43.838	42.732	41.853	60.233	58.799	57.481	55.780	54.543	43.220	41.590	""	42.670	0	20.092	20.024	20.035	20.173	20.191	0	20.658	20.926	21.174	20.837	21.717	21.933	21.905	21.040	20.001	20.263	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	675.301	681.877	674.997	666.880	664.938	661.108	664.953	666.058	682.004	679.624	674.725	675.121	674.317	666.129	654.390	649.181	647.373	638.799	626.081	620.419	610.976	604.631	603.367	603.367	""	601.674	
51 Ceuta	83.517	84.202	84.777	85.144	84.959	84.519	84.263	84.963	84.180	84.018	82.376	80.579	78.674	77.389	76.603	75.861	75.276	74.654	74.931	76.152	75.694	75.241	73.704	72.117	""	68.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	83.517	84.202	84.777	85.144	84.959	84.519	84.263	84.963	84.180	84.018	82.376	80.579	78.674	77.389	76.603	75.861	75.276	74.654	74.931	76.152	75.694	75.241	73.704	72.117	""	68.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
52 Melilla	86.261	87.076	86.487	86.384	86.120	86.026	85.584	84.509	83.679	80.802	78.476	76.034	73.460	71.448	69.440	66.871	65.488	68.016	68.463	69.184	68.789	66.263	56.929	60.108	""	59.576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	86.261	87.076	86.487	86.384	86.120	86.026	85.584	84.509	83.679	80.802	78.476	76.034	73.460	71.448	69.440	66.871	65.488	68.016	68.463	69.184	68.789	66.263	56.929	60.108	""	59.576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
Notas:
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
Fuente: 
